user_screen_name,created_at," San diego County, CA",text,fav,rt_count,friend,clean_text_1,clean_text_2,Aspect,Prediction
giles_carol,Sun Oct 31 04:48:49 +0000 2021," San Diego, California","From CTmagazine: Ghana is one of 32 African nations where homosexuality is criminalized. 

Major church networks and politicians have backed a controversial bill to ban LGBT advocacy groups and increase penalties for same-sex relationships. 

https://t.co/met50acCyJ",0,0,471,from ctmagazine ghana is one of  african nations where homosexuality is criminalized   major church networks and politicians have backed a controversial bill to ban lgbt advocacy groups and increase penalties for samesex relationships   ,ctmagazine ghana one african nations homosexuality criminalized major church networks politicians backed controversial bill ban lgbt advocacy groups increase penalties samesex relationships,anti-lgbt,anti-lgbt
FightAbleism,Sun Oct 31 04:04:07 +0000 2021,"Aliso Viejo, CA",@bennessb a doctor listening to me/letting me ask for treatment/not being ableist &amp; anti LGBT/investigating whats causing symptoms/making sure my specialists are decent/listening to my input on meds/treatments/going the extra mile to make sure I got meds w/o delay.,1,0,1178, a doctor listening to meletting me ask for treatmentnot being ableist  anti lgbtinvestigating whats causing symptomsmaking sure my specialists are decentlistening to my input on medstreatmentsgoing the extra mile to make sure i got meds wo delay,doctor listening meletting ask treatmentnot ableist anti lgbtinvestigating whats causing symptomsmaking sure specialists decentlistening input medstreatmentsgoing extra mile make sure got meds wo delay,neutral,neutral
FightAbleism,Sun Oct 31 04:02:50 +0000 2021,"Altadena, CA",a doctor listening to me/letting me ask for treatment/not being ableist &amp; anti LGBT/investigating whats causing symptoms/making sure my specialists are decent/listening to my input on meds/treatments/going the extra mile to make sure I got meds w/o delay https://t.co/lNngeNr2OS,0,1,1178,a doctor listening to meletting me ask for treatmentnot being ableist  anti lgbtinvestigating whats causing symptomsmaking sure my specialists are decentlistening to my input on medstreatmentsgoing the extra mile to make sure i got meds wo delay ,doctor listening meletting ask treatmentnot ableist anti lgbtinvestigating whats causing symptomsmaking sure specialists decentlistening input medstreatmentsgoing extra mile make sure got meds wo delay,neutral,neutral
mattbattmatt,Sun Oct 31 03:57:44 +0000 2021,Anaheim ,"@MintySilvis @DewEnjoyer I'm not really mad but more confused

Kris is always referred to they/them, and apparently Toby fox confirmed they're NB. Undertale and deltarune also have LGBT characters and I don't understand why people think it's supposed to be interpreted",5,0,334,  i am not really mad but more confused  kris is always referred to theythem and apparently toby fox confirmed they are nb undertale and deltarune also have lgbt characters and i do not understand why people think it is supposed to be interpreted,really mad confused kris always referred theythem apparently toby fox confirmed nb undertale deltarune also lgbt characters understand people think supposed interpreted,neutral,neutral
bythesea66,Sun Oct 31 03:46:25 +0000 2021,"Anaheim, CA",Suspected Iranian hack hits Israeli LGBT site; users fear leak of personal info | The Times of Israel https://t.co/fQIIR82wfx,0,0,4969,suspected iranian hack hits israeli lgbt site users fear leak of personal info  the times of israel ,suspected iranian hack hits israeli lgbt site users fear leak personal info times israel,anti-lgbt,anti-lgbt
rad_dude12,Sun Oct 31 03:14:56 +0000 2021,"Anaheim, CA","@DeniseRoars @jenneheise @TallowWolves @rckhff @realchrisrufo Probably shouldnât trust an organization that makes up history based on their anti-lgbt biases to tell us how to teach history.

Why do you hate America?",0,0,182,     probably shouldn t trust an organization that makes up history based on their antilgbt biases to tell us how to teach history  why do you hate america,probably trust organization makes history based antilgbt biases tell us teach history hate america,neutral,neutral
mickrry,Sun Oct 31 02:49:43 +0000 2021,"Anaheim, CA","okay so tomorrow
-cast ensemble again
-something with a famous song attached that he can sing 
-iâm gonna guess lgbt connotations again",1,0,1770,okay so tomorrow cast ensemble again something with a famous song attached that he can sing  i m gonna guess lgbt connotations again,okay tomorrow cast ensemble something famous song attached sing gonna guess lgbt connotations,neutral,neutral
rchavezphotos,Sun Oct 31 02:19:18 +0000 2021,"Anaheim, CA",when is something lgbt gonna happen to ME :/,3,0,217,when is something lgbt gonna happen to me ,something lgbt gonna happen,neutral,neutral
HoityToity_CA,Sun Oct 31 02:14:50 +0000 2021,"Anaheim, CA",@chickpeafire im not a person im lgbt,1,0,1468, im not a person im lgbt,im person im lgbt,neutral,neutral
BlueOc1981,Sun Oct 31 01:30:07 +0000 2021,"Anaheim, CA","@motownmaniax @ananavarro Her voting record was in lockstep with Trump. Itâs just that 1/6 proved to be a bridge too far even for her. As a fan of Anaâs, Iâm very disappointed that she would be cheering someone who voted against protecting the LGBT community and voting rights. Republicans stick together.",0,0,773,  her voting record was in lockstep with trump it s just that  proved to be a bridge too far even for her as a fan of ana s i m very disappointed that she would be cheering someone who voted against protecting the lgbt community and voting rights republicans stick together,voting record lockstep trump proved bridge far even fan ana disappointed would cheering someone voted protecting lgbt community voting rights republicans stick together,pro-lgbt,pro-lgbt
WeHoLove,Sun Oct 31 01:11:50 +0000 2021,Arcadia,"West Hollywood proposes to add two new LGBT rainbow crosswalks for a total of three on Santa Monica Blvd at Robertson, San Vicente, &amp; La Cienega!! https://t.co/sZIZRycGx9",8,1,38855,west hollywood proposes to add two new lgbt rainbow crosswalks for a total of three on santa monica blvd at robertson san vicente  la cienega ,west hollywood proposes add two new lgbt rainbow crosswalks total three santa monica blvd robertson san vicente la cienega,pro-lgbt,pro-lgbt
eakued,Sun Oct 31 01:08:31 +0000 2021,Arcadia,"@YuRi_nadan @kawaiiguchirina Lmao the words ""bestfriend"" and ""lgbt"" in one sentence ð¤£ð¤­ idek much abt japanese but right after i heard this i cant think anything else except of what im thinking rn ð¤£
Tho it was uploaded on 2018",1,0,346,  lmao the words bestfriend and lgbt in one sentence    idek much abt japanese but right after i heard this i cant think anything else except of what im thinking rn   tho it was uploaded on ,lmao words bestfriend lgbt one sentence idek much abt japanese right heard cant think anything else except im thinking rn tho uploaded,neutral,neutral
rogersandoval70,Sun Oct 31 00:48:11 +0000 2021,Arcadia,@sicousi @melii1014 I for one will say BRITNEY has always supported the lgbt and not all of them are close to Britâs beautyâ¦ looking this regardless where or who itâs obvious that these are men you all have gotten over the top â¦ while all of you have a pic of Brit in your profile,0,0,136,  i for one will say britney has always supported the lgbt and not all of them are close to brit s beauty  looking this regardless where or who it s obvious that these are men you all have gotten over the top   while all of you have a pic of brit in your profile,one say britney always supported lgbt close brit beauty looking regardless obvious men gotten top pic brit profile,neutral,pro-lgbt
