user_screen_name,created_at,location,text,fav,rt_count,friend,clean_text_1,clean_text_2,aspect,Prediction
TheTomKnighton,Wed Oct 27 19:08:25 +0000 2021,"Albany, GA","The character is a psychopathic, homicidal murder machine.

The idea that he's not exactly LGBT-friendly doesn't seem like the big issue to take with him.

On the upside, it's clear he doesn't discriminate since he kills everyone else, too. https://t.co/hHvgvgnAkH",1,0,1177,the character is a psychopathic homicidal murder machine  the idea that he is not exactly lgbtfriendly does not seem like the big issue to take with him  on the upside it is clear he does not discriminate since he kills everyone else too ,character psychopathic homicidal murder machine idea exactly lgbtfriendly seem like big issue take upside clear discriminate since kills everyone else,neutral,neutral
american1865,Tue Oct 26 22:58:29 +0000 2021,"Americus, GA",@aIongthecoast This is not as pro lgbt as you think,2,0,128, this is not as pro lgbt as you think,pro lgbt think,neutral,neutral
zvangieson28,Wed Oct 27 22:56:15 +0000 2021,"Anniston, AL","@ErikReed For real! And I would bet many of those in the room stand against (rightly) LGBT narrative, sexual revolution, etc. Then they do this. Mercy.",0,0,1179, for real and i would bet many of those in the room stand against rightly lgbt narrative sexual revolution etc then they do this mercy,real would bet many room stand rightly lgbt narrative sexual revolution etc mercy,neutral,anti-lgbt
geekalabama,Wed Oct 27 11:01:58 +0000 2021,"Anniston, AL",Crowdsourcing Mornings: Something Awful: An LGBT IllustratedÃÂ Novel https://t.co/XhTYEITJfz,0,0,1814,crowdsourcing mornings something awful an lgbt illustrated novel ,crowdsourcing mornings something awful lgbt illustrated novel,neutral,neutral
nvyoung,Wed Oct 27 11:01:56 +0000 2021,"Anniston, AL",Crowdsourcing Mornings: Something Awful: An LGBT IllustratedÃÂ Novel https://t.co/ufv78KVvMZ,0,0,5049,crowdsourcing mornings something awful an lgbt illustrated novel ,crowdsourcing mornings something awful lgbt illustrated novel,neutral,neutral
ivyalive,Sat Oct 30 15:43:47 +0000 2021,"Asheville, NC",@HoboAndJam @moozeythepoozey @Quisteen Omg I tried to reread gentleman's alliance not too long ago and just... Had to put it down Ã°ÂÂÂ the fkin LGBT rep in that series is... Embarrassing (I even owned the full series lol),0,0,1035,   omg i tried to reread gentleman is alliance not too long ago and just had to put it down   the fkin lgbt rep in that series is embarrassing i even owned the full series lol,omg tried reread gentleman alliance long ago put fkin lgbt rep series embarrassing even owned full series lol,anti-lgbt,anti-lgbt
SouthernEqual,Mon Oct 25 17:28:04 +0000 2021,"Asheville, NC","No surprise here. 

""Nonetheless, the findings provide important information Ã¢ÂÂ that mental health among LGBT people has been deteriorating since early 2016"" giving our current admin. the opportunity to better the conditions for LGBTQ people moving forward.
https://t.co/9AmAZwLWUc",1,1,5901,no surprise here   nonetheless the findings provide important information   that mental health among lgbt people has been deteriorating since early  giving our current admin the opportunity to better the conditions for lgbtq people moving forward ,surprise nonetheless findings provide important information mental health among lgbt people deteriorating since early giving current admin opportunity better conditions lgbtq people moving forward,pro-lgbt,pro-lgbt
ConnectByFaith,Sat Oct 23 14:33:31 +0000 2021,"Ashland City, Tennessee",Comic Book Artist Quits After DC Announces Superman Will Be LGBT - https://t.co/zraT1NlEzP,0,0,985,comic book artist quits after dc announces superman will be lgbt  ,comic book artist quits dc announces superman lgbt,anti-lgbt,neutral
StanleyECook,Tue Oct 26 08:42:53 +0000 2021,"Athens, Al 35611",Afghanistan: Gay man burned by Taliban says international LGBT+ community has Ã¢ÂÂforgot about usÃ¢ÂÂ https://t.co/vco9C2A1c4 God is Against Queers!! Read Romans 1:24-32,0,0,5220,afghanistan gay man burned by taliban says international lgbt community has  forgot about us   god is against queers read romans ,afghanistan gay man burned taliban says international lgbt community forgot us god queers read romans,anti-lgbt,anti-lgbt
StanleyECook,Mon Oct 25 08:53:38 +0000 2021,"Athens, Al 35611",Gay Afghan BURNED by Taliban says international LGBT+ community has Ã¢ÂÂforgot about usÃ¢ÂÂ Ã¢ÂÂ Geller Report https://t.co/DdVJm3xbJl Anyone PRO homosexuality in ANY way will pay a big price from GOD! read Romans 1:24-32,0,0,5220,gay afghan burned by taliban says international lgbt community has  forgot about us    geller report  anyone pro homosexuality in any way will pay a big price from god read romans ,gay afghan burned taliban says international lgbt community forgot us geller report anyone pro homosexuality way pay big price god read romans,anti-lgbt,anti-lgbt
